game_id,team_id,plus_minus,avg_opp_elo,is_home,days_since_last,is_back_to_back
0021900014,1610612765,-17.0,1482.0,1.0,1.0,1.0
0021900029,1610612738,23.0,1512.4837645268904,0.0,1.0,1.0
0021900029,1610612752,-23.0,1505.0,1.0,1.0,1.0
0021900031,1610612741,-24.0,1495.0,1.0,1.0,1.0
0021900031,1610612761,24.0,1487.5162354731096,0.0,1.0,1.0
0021900032,1610612740,-3.0,1522.4837645268904,0.0,1.0,1.0
0021900033,1610612764,-2.0,1495.0,0.0,1.0,1.0
0021900034,1610612758,-32.0,1505.0,0.0,1.0,1.0
0021900034,1610612762,32.0,1487.5162354731096,1.0,1.0,1.0
0021900035,1610612756,8.0,1505.0,1.0,1.0,1.0
0021900039,1610612748,-7.0,1495.0,0.0,1.0,1.0
0021900045,1610612760,-4.0,1494.205725764422,0.0,1.0,1.0
0021900047,1610612744,11.0,1504.8984588004964,0.0,1.0,1.0
0021900048,1610612757,-3.0,1501.988155721928,0.0,1.0,1.0
0021900051,1610612766,-15.0,1504.4876682514625,0.0,1.0,1.0
0021900052,1610612737,-15.0,1511.0804414902,0.0,1.0,1.0
0021900053,1610612743,-3.0,1481.6174337951036,1.0,1.0,1.0
0021900068,1610612746,6.0,1501.5332717249346,1.0,1.0,1.0
0021900076,1610612759,17.0,1496.34599250028,0.0,1.0,1.0
0021900078,1610612751,-4.0,1489.1275692282084,0.0,1.0,1.0
0021900078,1610612765,4.0,1500.0483916569049,1.0,1.0,1.0
0021900079,1610612753,-4.0,1503.6421370458772,1.0,1.0,1.0
0021900082,1610612749,10.0,1500.5721022870828,1.0,1.0,1.0
0021900083,1610612744,-6.0,1503.1111268896418,1.0,1.0,1.0
0021900093,1610612745,7.0,1492.7791801856038,0.0,1.0,1.0
0021900104,1610612754,15.0,1492.700422796013,1.0,1.0,1.0
0021900105,1610612741,20.0,1499.1938889091741,0.0,1.0,1.0
0021900105,1610612737,-20.0,1519.067624512809,1.0,1.0,1.0
0021900109,1610612753,-1.0,1503.5662472529987,0.0,1.0,1.0
0021900115,1610612746,6.0,1511.888528834094,1.0,1.0,1.0
0021900125,1610612757,-4.0,1505.6937403838463,1.0,1.0,1.0
0021900126,1610612748,-15.0,1515.7493349398928,0.0,1.0,1.0
0021900128,1610612740,5.0,1503.5806844775295,0.0,1.0,1.0
0021900130,1610612742,16.0,1487.2079140346807,0.0,1.0,1.0
0021900130,1610612763,-16.0,1502.9256053911067,1.0,1.0,1.0
0021900131,1610612744,-6.0,1503.9695201426932,0.0,1.0,1.0
0021900134,1610612766,-8.0,1490.5694117545343,0.0,1.0,1.0
0021900135,1610612760,-2.0,1487.0357816092758,1.0,1.0,1.0
0021900140,1610612750,6.0,1500.9021666208348,0.0,1.0,1.0
0021900145,1610612761,-10.0,1491.197934803074,0.0,1.0,1.0
0021900148,1610612765,-9.0,1491.8393234257508,0.0,1.0,1.0
0021900152,1610612762,5.0,1494.4705755735229,1.0,1.0,1.0
0021900155,1610612755,-15.0,1510.2988235249645,0.0,1.0,1.0
0021900159,1610612747,26.0,1510.5457873923228,1.0,1.0,1.0
0021900160,1610612757,-8.0,1501.1116275238733,1.0,1.0,1.0
0021900164,1610612746,-5.0,1513.3356252489764,0.0,1.0,1.0
0021900176,1610612754,-19.0,1490.1238248014852,1.0,1.0,1.0
0021900177,1610612766,1.0,1488.4039074642988,0.0,1.0,1.0
0021900179,1610612745,20.0,1484.861971186139,0.0,1.0,1.0
0021900179,1610612750,-20.0,1494.7286208777005,1.0,1.0,1.0
0021900181,1610612759,-5.0,1501.6211752524935,1.0,1.0,1.0
0021900187,1610612740,8.0,1511.0044645111898,1.0,1.0,1.0
0021900188,1610612737,-21.0,1511.4360844447356,0.0,1.0,1.0
0021900189,1610612739,-18.0,1499.6272833958683,0.0,1.0,1.0
0021900195,1610612738,14.0,1484.0561134053976,0.0,1.0,1.0
0021900199,1610612757,-11.0,1506.807710449168,0.0,1.0,1.0
0021900200,1610612756,-4.0,1513.555484680597,0.0,1.0,1.0
0021900201,1610612760,-5.0,1499.571659055394,0.0,1.0,1.0
0021900208,1610612744,-48.0,1507.4790847133443,0.0,1.0,1.0
0021900213,1610612749,8.0,1497.8274207653624,1.0,1.0,1.0
0021900226,1610612766,-1.0,1487.2804412735936,1.0,1.0,1.0
0021900226,1610612741,1.0,1503.9700887033994,0.0,1.0,1.0
0021900228,1610612737,-3.0,1516.3264761616035,1.0,1.0,1.0
0021900229,1610612759,7.0,1501.5443566280203,0.0,1.0,1.0
0021900230,1610612748,-27.0,1496.1228990183038,0.0,1.0,1.0
0021900230,1610612755,27.0,1493.3601476894153,1.0,1.0,1.0
0021900231,1610612739,6.0,1503.2625365502026,1.0,1.0,1.0
0021900232,1610612747,1.0,1493.4543945040305,0.0,1.0,1.0
0021900233,1610612765,-14.0,1490.2486651274787,0.0,1.0,1.0
0021900234,1610612762,8.0,1489.5073559665673,1.0,1.0,1.0
0021900236,1610612752,-2.0,1490.0919633365288,1.0,1.0,1.0
0021900238,1610612756,-12.0,1509.2799374617407,0.0,1.0,1.0
0021900239,1610612740,-25.0,1502.0268906914782,0.0,1.0,1.0
0021900240,1610612751,2.0,1487.4654343313368,0.0,1.0,1.0
0021900244,1610612758,-1.0,1508.164732669959,0.0,1.0,1.0
0021900260,1610612746,2.0,1511.9653411302893,0.0,1.0,1.0
0021900263,1610612764,8.0,1507.1120720051333,0.0,1.0,1.0
0021900281,1610612754,-3.0,1485.9587257317385,0.0,1.0,1.0
0021900281,1610612755,3.0,1491.6159504056525,1.0,1.0,1.0
0021900282,1610612737,-47.0,1527.1205007444942,0.0,1.0,1.0
0021900283,1610612749,41.0,1484.0752409935726,1.0,1.0,1.0
0021900283,1610612766,-41.0,1481.7048796191527,0.0,1.0,1.0
0021900294,1610612762,-9.0,1501.1948243902725,0.0,1.0,1.0
0021900295,1610612744,-25.0,1507.5963687738424,0.0,1.0,1.0
0021900296,1610612763,-13.0,1519.7317237095285,1.0,1.0,1.0
0021900297,1610612752,-44.0,1503.7118789462718,0.0,1.0,1.0
0021900307,1610612765,-24.0,1479.4221161185174,1.0,1.0,1.0
0021900308,1610612753,14.0,1490.0743746319627,1.0,1.0,1.0
0021900310,1610612748,-19.0,1492.5375976364908,0.0,1.0,1.0
0021900313,1610612742,7.0,1487.826115608628,1.0,1.0,1.0
0021900314,1610612747,25.0,1488.0668869578558,0.0,1.0,1.0
0021900315,1610612757,11.0,1497.091251798669,1.0,1.0,1.0
0021900319,1610612756,7.0,1511.2288193283484,0.0,1.0,1.0
0021900323,1610612743,-13.0,1500.8831334653855,0.0,1.0,1.0
0021900324,1610612764,-9.0,1517.9485545001048,0.0,1.0,1.0
0021900331,1610612754,1.0,1485.7540961204697,0.0,1.0,1.0
0021900332,1610612739,-47.0,1504.5216923559399,0.0,1.0,1.0
0021900338,1610612755,6.0,1479.495205532946,1.0,1.0,1.0
0021900340,1610612742,-4.0,1485.9289104110603,1.0,1.0,1.0
0021900343,1610612746,11.0,1498.822434188295,0.0,1.0,1.0
0021900345,1610612741,-1.0,1481.8823853445342,1.0,1.0,1.0
0021900345,1610612761,1.0,1505.2694981832835,0.0,1.0,1.0
0021900346,1610612758,1.0,1514.0608460233484,0.0,1.0,1.0
0021900349,1610612750,-16.0,1505.2759115644715,0.0,1.0,1.0
0021900350,1610612760,14.0,1498.1477947693845,0.0,1.0,1.0
0021900360,1610612766,5.0,1479.0668769014314,0.0,1.0,1.0
0021900361,1610612737,-34.0,1527.832464695817,0.0,1.0,1.0
0021900366,1610612752,2.0,1516.8368024305537,0.0,1.0,1.0
0021900367,1610612738,-6.0,1500.0182531735816,1.0,1.0,1.0
0021900368,1610612739,8.0,1522.353351561409,0.0,1.0,1.0
0021900372,1610612755,7.0,1494.7333471622333,1.0,1.0,1.0
0021900382,1610612741,3.0,1479.0401442983189,1.0,1.0,1.0
0021900382,1610612746,-3.0,1500.0262517025362,0.0,1.0,1.0
0021900383,1610612763,17.0,1518.4583719675998,1.0,1.0,1.0
0021900384,1610612748,4.0,1489.6952680353804,0.0,1.0,1.0
0021900385,1610612749,17.0,1463.0691044817074,1.0,1.0,1.0
0021900386,1610612745,-8.0,1503.5326086741127,1.0,1.0,1.0
0021900391,1610612751,20.0,1498.3626564896629,1.0,1.0,1.0
0021900392,1610612743,6.0,1507.9525934262178,1.0,1.0,1.0
0021900406,1610612756,-21.0,1494.7710527164588,0.0,1.0,1.0
0021900407,1610612766,-2.0,1483.5178087337263,0.0,1.0,1.0
0021900411,1610612740,8.0,1533.1682231519155,0.0,1.0,1.0
0021900414,1610612753,-9.0,1499.6634016416667,0.0,1.0,1.0
0021900432,1610612765,-12.0,1506.2702690722415,1.0,1.0,1.0
0021900433,1610612755,17.0,1512.6859727111246,1.0,1.0,1.0
0021900433,1610612764,-17.0,1522.322283743816,0.0,1.0,1.0
0021900434,1610612752,-21.0,1517.8621292520222,1.0,1.0,1.0
0021900435,1610612758,-4.0,1494.3415972810812,0.0,1.0,1.0
0021900435,1610612763,4.0,1513.2739521191932,1.0,1.0,1.0
0021900437,1610612756,-14.0,1497.2795388025081,1.0,1.0,1.0
0021900438,1610612757,7.0,1479.5208949090184,1.0,1.0,1.0
0021900438,1610612750,-7.0,1516.380480125477,0.0,1.0,1.0
0021900440,1610612766,-26.0,1484.9006987196715,0.0,1.0,1.0
0021900441,1610612749,28.0,1472.0384473288452,1.0,1.0,1.0
0021900442,1610612746,-6.0,1491.1199879053188,0.0,1.0,1.0
0021900446,1610612754,5.0,1502.7107773655111,1.0,1.0,1.0
0021900446,1610612761,-5.0,1498.3355127465138,0.0,1.0,1.0
0021900451,1610612743,2.0,1502.8655512078597,0.0,1.0,1.0
0021900467,1610612760,2.0,1477.4960043825945,0.0,1.0,1.0
0021900473,1610612738,-16.0,1506.6942823280401,1.0,1.0,1.0
0021900474,1610612754,-22.0,1517.0606269308457,0.0,1.0,1.0
0021900475,1610612748,1.0,1511.6028635682396,1.0,1.0,1.0
0021900475,1610612755,-1.0,1510.9594849573516,0.0,1.0,1.0
0021900477,1610612737,-35.0,1520.730356807172,0.0,1.0,1.0
0021900479,1610612739,6.0,1521.4632481578685,0.0,1.0,1.0
0021900480,1610612749,11.0,1478.773536374012,1.0,1.0,1.0
0021900480,1610612753,-11.0,1504.793343948665,0.0,1.0,1.0
0021900482,1610612744,-20.0,1460.136061184703,1.0,1.0,1.0
0021900483,1610612756,2.0,1497.746140938054,0.0,1.0,1.0
0021900486,1610612761,-1.0,1523.5737313833124,1.0,1.0,1.0
0021900487,1610612763,13.0,1498.4406227282318,1.0,1.0,1.0
0021900488,1610612740,15.0,1516.1808235459682,1.0,1.0,1.0
0021900488,1610612745,-15.0,1477.5464268902979,0.0,1.0,1.0
0021900489,1610612743,5.0,1488.5507016979911,1.0,1.0,1.0
0021900489,1610612758,-5.0,1484.038621435357,0.0,1.0,1.0
0021900490,1610612747,13.0,1524.4318257026332,1.0,1.0,1.0
0021900490,1610612742,-13.0,1518.4031971540508,0.0,1.0,1.0
0021900512,1610612750,15.0,1507.837920684494,1.0,1.0,1.0
0021900518,1610612748,-20.0,1518.592012388548,0.0,1.0,1.0
0021900525,1610612753,-13.0,1517.9772820169073,1.0,1.0,1.0
0021900526,1610612737,5.0,1508.7351240344203,1.0,1.0,1.0
0021900528,1610612764,14.0,1496.8840188047106,1.0,1.0,1.0
0021900529,1610612738,7.0,1494.886345180092,0.0,1.0,1.0
0021900533,1610612740,2.0,1532.981541790492,0.0,1.0,1.0
0021900534,1610612746,3.0,1502.9054654650322,1.0,1.0,1.0
0021900536,1610612739,-15.0,1516.5718273865868,1.0,1.0,1.0
0021900537,1610612763,7.0,1494.5370024108902,0.0,1.0,1.0
0021900538,1610612765,-7.0,1515.9508509318125,0.0,1.0,1.0
0021900550,1610612760,8.0,1492.8606027906892,0.0,1.0,1.0
0021900550,1610612751,-8.0,1488.151239602471,1.0,1.0,1.0
0021900552,1610612758,11.0,1478.411469254621,0.0,1.0,1.0
0021900555,1610612761,2.0,1509.2627388564474,0.0,1.0,1.0
0021900561,1610612752,-24.0,1501.5181778662068,0.0,1.0,1.0
0021900564,1610612738,-11.0,1486.9656330130704,0.0,1.0,1.0
